table(i,j), i, j = 2.36798e+01, 2, 119
table(i,j), i, j = 2.36798e+01, 2, 120
table(i,j), i, j = 2.36798e+01, 2, 121
table(i,j), i, j = 2.36798e+01, 2, 122
table(i,j), i, j = 2.36798e+01, 2, 123
table(i,j), i, j = 2.36798e+01, 2, 124
table(i,j), i, j = 2.36798e+01, 2, 125
table(i,j), i, j = 2.36798e+01, 2, 126
table(i,j), i, j = 2.36798e+01, 2, 127
table(i,j), i, j = 2.36798e+01, 2, 128
table(i,j), i, j = -5.14541e+01, 2, 129
table(i,j), i, j = -5.14541e+01, 2, 130
table(i,j), i, j = -5.14541e+01, 2, 131
table(i,j), i, j = -5.14541e+01, 2, 132
table(i,j), i, j = -5.14541e+01, 2, 133
table(i,j), i, j = -5.14541e+01, 2, 134
table(i,j), i, j = -5.14541e+01, 2, 135
table(i,j), i, j = -5.14541e+01, 2, 136
table(i,j), i, j = -5.14541e+01, 2, 137
table(i,j), i, j = -5.14541e+01, 2, 138
table(i,j), i, j = -5.14541e+01, 2, 139
table(i,j), i, j = -5.14541e+01, 2, 140
table(i,j), i, j = -5.14541e+01, 2, 141
table(i,j), i, j = -5.14541e+01, 2, 142
table(i,j), i, j = -5.14541e+01, 2, 143
table(i,j), i, j = -5.14541e+01, 2, 144
table(i,j), i, j = -5.14541e+01, 2, 145
table(i,j), i, j = -5.14541e+01, 2, 146
table(i,j), i, j = -5.14541e+01, 2, 147
table(i,j), i, j = -5.14541e+01, 2, 148
table(i,j), i, j = -5.14541e+01, 2, 149
table(i,j), i, j = -5.14541e+01, 2, 150
table(i,j), i, j = -5.14541e+01, 2, 151
table(i,j), i, j = -5.14541e+01, 2, 152
table(i,j), i, j = -5.14541e+01, 2, 153
table(i,j), i, j = -5.14541e+01, 2, 154
table(i,j), i, j = -5.14541e+01, 2, 155
table(i,j), i, j = -5.14541e+01, 2, 156
table(i,j), i, j = -5.14541e+01, 2, 157
table(i,j), i, j = -5.14541e+01, 2, 158
table(i,j), i, j = -5.14541e+01, 2, 159
table(i,j), i, j = -5.14541e+01, 2, 160
table(i,j), i, j = 2.65067e+01, 3, 0
table(i,j), i, j = 2.64973e+01, 3, 1
table(i,j), i, j = 2.64851e+01, 3, 2
table(i,j), i, j = 2.64664e+01, 3, 3
table(i,j), i, j = 2.64477e+01, 3, 4
table(i,j), i, j = 2.64287e+01, 3, 5
table(i,j), i, j = 2.64099e+01, 3, 6
table(i,j), i, j = 2.63912e+01, 3, 7
table(i,j), i, j = 2.63725e+01, 3, 8
table(i,j), i, j = 2.63539e+01, 3, 9
table(i,j), i, j = 2.63354e+01, 3, 10
table(i,j), i, j = 2.63169e+01, 3, 11
table(i,j), i, j = 2.62986e+01, 3, 12
table(i,j), i, j = 2.62805e+01, 3, 13
table(i,j), i, j = 2.62625e+01, 3, 14
table(i,j), i, j = 2.62451e+01, 3, 15
table(i,j), i, j = 2.62277e+01, 3, 16
table(i,j), i, j = 2.62110e+01, 3, 17
table(i,j), i, j = 2.61958e+01, 3, 18
table(i,j), i, j = 2.61718e+01, 3, 19
table(i,j), i, j = 2.61423e+01, 3, 20
table(i,j), i, j = 2.61133e+01, 3, 21
table(i,j), i, j = 2.60848e+01, 3, 22
table(i,j), i, j = 2.60580e+01, 3, 23
table(i,j), i, j = 2.60359e+01, 3, 24
table(i,j), i, j = 2.60142e+01, 3, 25
table(i,j), i, j = 2.59927e+01, 3, 26
table(i,j), i, j = 2.59718e+01, 3, 27
table(i,j), i, j = 2.59512e+01, 3, 28
table(i,j), i, j = 2.59327e+01, 3, 29
table(i,j), i, j = 2.59182e+01, 3, 30
table(i,j), i, j = 2.59049e+01, 3, 31
table(i,j), i, j = 2.58914e+01, 3, 32
table(i,j), i, j = 2.58684e+01, 3, 33
table(i,j), i, j = 2.58430e+01, 3, 34
table(i,j), i, j = 2.58246e+01, 3, 35
table(i,j), i, j = 2.58070e+01, 3, 36
table(i,j), i, j = 2.57898e+01, 3, 37
table(i,j), i, j = 2.57757e+01, 3, 38
table(i,j), i, j = 2.57640e+01, 3, 39
table(i,j), i, j = 2.57546e+01, 3, 40
table(i,j), i, j = 2.57476e+01, 3, 41
table(i,j), i, j = 2.57405e+01, 3, 42
table(i,j), i, j = 2.57343e+01, 3, 43
table(i,j), i, j = 2.57280e+01, 3, 44
table(i,j), i, j = 2.57225e+01, 3, 45
table(i,j), i, j = 2.57190e+01, 3, 46
table(i,j), i, j = 2.57139e+01, 3, 47
table(i,j), i, j = 2.57081e+01, 3, 48
table(i,j), i, j = 2.57018e+01, 3, 49
table(i,j), i, j = 2.56936e+01, 3, 50
table(i,j), i, j = 2.56854e+01, 3, 51
table(i,j), i, j = 2.56784e+01, 3, 52
table(i,j), i, j = 2.56694e+01, 3, 53
table(i,j), i, j = 2.56600e+01, 3, 54
table(i,j), i, j = 2.56525e+01, 3, 55
table(i,j), i, j = 2.56432e+01, 3, 56
table(i,j), i, j = 2.56326e+01, 3, 57
table(i,j), i, j = 2.56213e+01, 3, 58
table(i,j), i, j = 2.56084e+01, 3, 59
table(i,j), i, j = 2.55943e+01, 3, 60
table(i,j), i, j = 2.55689e+01, 3, 61
table(i,j), i, j = 2.55361e+01, 3, 62
table(i,j), i, j = 2.55025e+01, 3, 63
table(i,j), i, j = 2.54665e+01, 3, 64
table(i,j), i, j = 2.54368e+01, 3, 65
table(i,j), i, j = 2.54063e+01, 3, 66
table(i,j), i, j = 2.53742e+01, 3, 67
table(i,j), i, j = 2.53437e+01, 3, 68
table(i,j), i, j = 2.53163e+01, 3, 69
table(i,j), i, j = 2.52936e+01, 3, 70
table(i,j), i, j = 2.52523e+01, 3, 71
table(i,j), i, j = 2.52038e+01, 3, 72
table(i,j), i, j = 2.51568e+01, 3, 73
table(i,j), i, j = 2.51177e+01, 3, 74
table(i,j), i, j = 2.50865e+01, 3, 75
